Period,Value
Nov-18,0.3
Dec-18,-2
Jan-19,0.6
Feb-19,0.2
Mar-19,1.6
Apr-19,0.1
May-19,0.7
Jun-19,0.2
Jul-19,0.9
Aug-19,0.7
Sep-19,-0.6
Oct-19,0.3
Nov-19,0.7
Dec-19,0.4
Jan-20,-0.1
Feb-20,0.1
Mar-20,-9
Apr-20,-14.6
May-20,19
Jun-20,8.6
Jul-20,1.6
Aug-20,1
Sep-20,2
Oct-20,-0.4
Nov-20,-0.9
Dec-20,1
Jan-21,3.5
Feb-21,-2.5
Mar-21,10.9
Apr-21,0.8
May-21,-0.8
Jun-21,1
Jul-21,-1.5
Aug-21,0.9
Sep-21,0.7
Oct-21,1.6
Nov-21,1.1
Dec-21,-0.6
Jan-22,1.4
Feb-22,1.4
Mar-22,2.1
Apr-22,1.3
May-22,-0.1
Jun-22,0.8
Jul-22,-0.8
Aug-22,0.8
Sep-22,0
Oct-22,1
Nov-22,-1.3
Dec-22,-0.7
Jan-23,2.8
Feb-23,-0.7
Mar-23,-0.9
Apr-23,0.4
May-23,0.7
Jun-23,0.3
Jul-23,NA
Aug-23,NA
Sep-23,NA
Oct-23,NA
Nov-23,NA
Dec-23,NA
