DATE,USALORSGPNOSTSAM
1960-01-01,101.01361658488
1960-02-01,101.024130358092
1960-03-01,100.947926064752
1960-04-01,100.787330371031
1960-05-01,100.561380867293
1960-06-01,100.287763936105
1960-07-01,99.9694702307449
1960-08-01,99.6059705036426
1960-09-01,99.2071981664893
1960-10-01,98.8101897754476
1960-11-01,98.4621184295244
1960-12-01,98.2036147629029
1961-01-01,98.0489320411213
1961-02-01,97.998946483285
1961-03-01,98.0460726872829
1961-04-01,98.1711862446626
1961-05-01,98.353560202577
1961-06-01,98.5747965528073
1961-07-01,98.8182990416032
1961-08-01,99.0705933122708
1961-09-01,99.3206426659265
1961-10-01,99.5580960421769
1961-11-01,99.7728170064872
1961-12-01,99.9548755517226
1962-01-01,100.095740529515
1962-02-01,100.188551821991
1962-03-01,100.230934141834
1962-04-01,100.230828999921
1962-05-01,100.198191131854
1962-06-01,100.139438790268
1962-07-01,100.054001816988
1962-08-01,99.9392918315761
1962-09-01,99.7972678718065
1962-10-01,99.6427388629876
1962-11-01,99.4953358074286
1962-12-01,99.3722997759455
1963-01-01,99.2806940974839
1963-02-01,99.2231569396066
1963-03-01,99.2011012190633
1963-04-01,99.2152082149402
1963-05-01,99.2639835331385
1963-06-01,99.3394623471874
1963-07-01,99.4201498058314
1963-08-01,99.4837323488219
1963-09-01,99.519068907553
1963-10-01,99.5390304822037
1963-11-01,99.564705152101
1963-12-01,99.610538939101
1964-01-01,99.668929167559
1964-02-01,99.7226636086836
1964-03-01,99.7561223798973
1964-04-01,99.7665156468992
1964-05-01,99.7564849767588
1964-06-01,99.7282035013268
1964-07-01,99.6788265173727
1964-08-01,99.6069817142722
1964-09-01,99.5205694438587
1964-10-01,99.4459502974426
1964-11-01,99.4131737035709
1964-12-01,99.4405271583729
1965-01-01,99.5161243413462
1965-02-01,99.6176501519777
1965-03-01,99.7282947293475
1965-04-01,99.850653013214
1965-05-01,99.9975482228782
1965-06-01,100.181960391239
1965-07-01,100.405107600762
1965-08-01,100.661586277118
1965-09-01,100.941572403453
1965-10-01,101.23049091995
1965-11-01,101.509532256256
1965-12-01,101.755439447394
1966-01-01,101.94096394804
1966-02-01,102.041495931924
1966-03-01,102.046018636311
1966-04-01,101.973950175257
1966-05-01,101.856125229943
1966-06-01,101.721425107622
1966-07-01,101.587090741004
1966-08-01,101.461154068621
1966-09-01,101.345067760596
1966-10-01,101.235931015245
1966-11-01,101.127809966011
1966-12-01,101.012775514667
1967-01-01,100.88209227664
1967-02-01,100.729602240803
1967-03-01,100.556417182209
1967-04-01,100.37732400149
1967-05-01,100.212129349375
1967-06-01,100.077835263278
1967-07-01,99.9802191707037
1967-08-01,99.9215283641296
1967-09-01,99.90567368056
1967-10-01,99.9408139719516
1967-11-01,100.035357271944
1967-12-01,100.190504969041
1968-01-01,100.388618043561
1968-02-01,100.603576339986
1968-03-01,100.808134062898
1968-04-01,100.980233523631
1968-05-01,101.103483856918
1968-06-01,101.17008125864
1968-07-01,101.187293416354
1968-08-01,101.170102157274
1968-09-01,101.137512625791
1968-10-01,101.111526635213
1968-11-01,101.109699392367
1968-12-01,101.137477624958
1969-01-01,101.178984043364
1969-02-01,101.209997931601
1969-03-01,101.210026881176
1969-04-01,101.175221148949
1969-05-01,101.107996767398
1969-06-01,101.009305099642
1969-07-01,100.87342058861
1969-08-01,100.692544949341
1969-09-01,100.464171930066
1969-10-01,100.20166332749
1969-11-01,99.9247687656229
1969-12-01,99.6528591464695
1970-01-01,99.3994841470259
1970-02-01,99.1737422283931
1970-03-01,98.9804392446882
1970-04-01,98.8183689968849
1970-05-01,98.6821952151815
1970-06-01,98.5621209821038
1970-07-01,98.4417433051884
1970-08-01,98.310379409124
1970-09-01,98.175283143732
1970-10-01,98.0744870285023
1970-11-01,98.0503098152893
1970-12-01,98.1206774151898
1971-01-01,98.259742639867
1971-02-01,98.4167443763006
1971-03-01,98.5444851424114
1971-04-01,98.6265099807376
1971-05-01,98.6641382354738
1971-06-01,98.6665429673379
1971-07-01,98.64387145954
1971-08-01,98.6085348254478
1971-09-01,98.5782285548884
1971-10-01,98.5798069622428
1971-11-01,98.6411698140946
1971-12-01,98.7809146220606
1972-01-01,98.9935842326128
1972-02-01,99.261165355815
1972-03-01,99.5591036425041
1972-04-01,99.8582560156827
1972-05-01,100.134018654063
1972-06-01,100.37537661676
1972-07-01,100.59556708584
1972-08-01,100.818957397
1972-09-01,101.069258993142
1972-10-01,101.357402681826
1972-11-01,101.682587144101
1972-12-01,102.030478663088
1973-01-01,102.368588814804
1973-02-01,102.657220213232
1973-03-01,102.861278952851
1973-04-01,102.965754728789
1973-05-01,102.969227467117
1973-06-01,102.884292974392
1973-07-01,102.745028847284
1973-08-01,102.586909796051
1973-09-01,102.430906294685
1973-10-01,102.269294738668
1973-11-01,102.082473051381
1973-12-01,101.856057171007
1974-01-01,101.5995907739
1974-02-01,101.330425731092
1974-03-01,101.060015147149
1974-04-01,100.781419462346
1974-05-01,100.479888728392
1974-06-01,100.143915352818
1974-07-01,99.7777482250084
1974-08-01,99.3920740328988
1974-09-01,98.9970386467224
1974-10-01,98.5968480596542
1974-11-01,98.1965294661288
1974-12-01,97.80891928029
1975-01-01,97.461515009342
1975-02-01,97.1859895659319
1975-03-01,97.0051389635095
1975-04-01,96.9287947595193
1975-05-01,96.9530316355274
1975-06-01,97.0654730754983
1975-07-01,97.2430130139082
1975-08-01,97.4626121166272
1975-09-01,97.7072182605074
1975-10-01,97.9685068163666
1975-11-01,98.2409366669073
1975-12-01,98.5142906830838
