DATE,BOPTIMP
2012-07-01,229120.0
2012-08-01,229029.0
2012-09-01,229976.0
2012-10-01,227600.0
2012-11-01,233794.0
2012-12-01,228560.0
2013-01-01,230418.0
2013-02-01,233440.0
2013-03-01,224170.0
2013-04-01,229090.0
2013-05-01,231538.0
2013-06-01,227347.0
2013-07-01,228481.0
2013-08-01,229065.0
2013-09-01,232422.0
2013-10-01,232757.0
2013-11-01,231275.0
2013-12-01,229979.0
2014-01-01,233222.0
2014-02-01,235178.0
2014-03-01,242498.0
2014-04-01,242790.0
2014-05-01,240993.0
2014-06-01,239410.0
2014-07-01,239693.0
2014-08-01,239161.0
2014-09-01,241228.0
2014-10-01,242443.0
2014-11-01,238700.0
2014-12-01,241251.0
2015-01-01,233110.0
2015-02-01,225837.0
2015-03-01,241004.0
2015-04-01,232923.0
2015-05-01,230420.0
2015-06-01,233937.0
2015-07-01,231181.0
2015-08-01,232289.0
2015-09-01,230796.0
2015-10-01,228668.0
2015-11-01,225870.0
2015-12-01,225521.0
2016-01-01,220996.0
2016-02-01,226339.0
2016-03-01,218854.0
2016-04-01,222214.0
2016-05-01,224156.0
2016-06-01,228552.0
2016-07-01,228127.0
2016-08-01,230319.0
2016-09-01,227718.0
2016-10-01,227898.0
2016-11-01,231550.0
2016-12-01,233560.0
2017-01-01,238992.0
2017-02-01,236277.0
2017-03-01,237337.0
2017-04-01,240265.0
2017-05-01,239517.0
2017-06-01,240568.0
2017-07-01,241114.0
2017-08-01,240348.0
2017-09-01,242718.0
2017-10-01,245703.0
2017-11-01,252353.0
2017-12-01,256224.0
2018-01-01,254344.0
2018-02-01,259252.0
2018-03-01,256757.0
2018-04-01,258346.0
2018-05-01,257051.0
2018-06-01,258219.0
2018-07-01,260943.0
2018-08-01,260602.0
2018-09-01,264037.0
2018-10-01,266466.0
2018-11-01,260876.0
2018-12-01,264164.0
2019-01-01,259800.0
2019-02-01,259934.0
2019-03-01,262838.0
2019-04-01,260123.0
2019-05-01,265163.0
2019-06-01,260588.0
2019-07-01,260746.0
2019-08-01,260437.0
2019-09-01,255782.0
2019-10-01,253155.0
2019-11-01,250776.0
2019-12-01,256328.0
2020-01-01,252112.0
2020-02-01,248814.0
2020-03-01,232437.0
2020-04-01,203267.0
2020-05-01,200413.0
2020-06-01,208792.0
2020-07-01,231592.0
2020-08-01,238074.0
2020-09-01,239954.0
2020-10-01,246953.0
2020-11-01,253551.0
2020-12-01,257068.0
2021-01-01,261303.0
2021-02-01,259808.0
2021-03-01,273775.0
2021-04-01,272981.0
2021-05-01,276147.0
2021-06-01,283023.0
2021-07-01,284503.0
2021-08-01,288383.0
2021-09-01,289781.0
2021-10-01,294490.0
2021-11-01,309125.0
2021-12-01,315282.0
2022-01-01,317247.0
2022-02-01,321859.0
2022-03-01,348219.0
2022-04-01,338771.0
2022-05-01,339216.0
2022-06-01,339417.0
2022-07-01,332356.0
2022-08-01,328890.0
2022-09-01,331575.0
2022-10-01,333829.0
2022-11-01,316555.0
2022-12-01,321709.0
2023-01-01,329301.0
2023-02-01,323848.0
2023-03-01,318783.0
2023-04-01,323590.0
2023-05-01,316118.0
2023-06-01,312980.0
