DATE,AMTMNO
2008-01-01,478676
2008-02-01,473714
2008-03-01,473829
2008-04-01,477888
2008-05-01,477706
2008-06-01,485010
2008-07-01,477725
2008-08-01,463929
2008-09-01,452545
2008-10-01,419715
2008-11-01,386733
2008-12-01,365490
2009-01-01,343559
2009-02-01,343150
2009-03-01,333431
2009-04-01,334449
2009-05-01,339817
2009-06-01,345129
2009-07-01,348909
2009-08-01,355776
2009-09-01,359189
2009-10-01,366143
2009-11-01,369445
2009-12-01,371392
2010-01-01,393694
2010-02-01,394215
2010-03-01,400659
2010-04-01,400842
2010-05-01,404370
2010-06-01,400624
2010-07-01,402326
2010-08-01,408354
2010-09-01,422049
2010-10-01,417830
2010-11-01,426427
2010-12-01,429764
2011-01-01,445734
2011-02-01,438975
2011-03-01,463133
2011-04-01,454441
2011-05-01,458536
2011-06-01,454746
2011-07-01,459477
2011-08-01,468947
2011-09-01,457843
2011-10-01,463126
2011-11-01,471598
2011-12-01,478391
2012-01-01,481499
2012-02-01,486486
2012-03-01,480182
2012-04-01,474139
2012-05-01,472924
2012-06-01,462398
2012-07-01,471418
2012-08-01,456667
2012-09-01,475393
2012-10-01,479227
2012-11-01,476019
2012-12-01,488118
2013-01-01,486079
2013-02-01,501834
2013-03-01,474511
2013-04-01,481757
2013-05-01,493924
2013-06-01,501236
2013-07-01,479590
2013-08-01,486373
2013-09-01,497394
2013-10-01,492467
2013-11-01,503958
2013-12-01,500015
2014-01-01,487239
2014-02-01,497377
2014-03-01,496999
2014-04-01,501689
2014-05-01,495076
2014-06-01,499161
2014-07-01,556708
2014-08-01,497281
2014-09-01,493702
2014-10-01,484994
2014-11-01,476531
2014-12-01,465167
2015-01-01,457300
2015-02-01,453837
2015-03-01,462057
2015-04-01,460428
2015-05-01,451000
2015-06-01,464015
2015-07-01,457118
2015-08-01,451697
2015-09-01,443966
2015-10-01,450663
2015-11-01,445862
2015-12-01,436539
2016-01-01,442236
2016-02-01,432214
2016-03-01,435508
2016-04-01,448206
2016-05-01,441873
2016-06-01,430180
2016-07-01,434449
2016-08-01,438958
2016-09-01,438743
2016-10-01,456064
2016-11-01,439699
2016-12-01,448532
2017-01-01,448135
2017-02-01,453347
2017-03-01,451314
2017-04-01,453095
2017-05-01,450801
2017-06-01,464267
2017-07-01,446135
2017-08-01,453405
2017-09-01,461398
2017-10-01,463387
2017-11-01,473055
2017-12-01,482515
2018-01-01,470358
2018-02-01,478186
2018-03-01,485759
2018-04-01,484904
2018-05-01,491088
2018-06-01,490399
2018-07-01,482153
2018-08-01,493491
2018-09-01,497078
2018-10-01,488401
2018-11-01,478782
2018-12-01,480899
2019-01-01,475906
2019-02-01,469860
2019-03-01,478332
2019-04-01,472540
2019-05-01,465277
2019-06-01,459808
2019-07-01,465393
2019-08-01,463594
2019-09-01,459905
2019-10-01,456682
2019-11-01,447983
2019-12-01,450593
2020-01-01,459985
2020-02-01,459240
2020-03-01,412598
2020-04-01,355226
2020-05-01,377305
2020-06-01,405685
2020-07-01,430361
2020-08-01,435740
2020-09-01,442764
2020-10-01,449106
2020-11-01,453631
2020-12-01,464778
2021-01-01,482597
2021-02-01,484865
2021-03-01,490016
2021-04-01,493792
2021-05-01,503868
2021-06-01,513395
2021-07-01,517215
2021-08-01,526167
2021-09-01,525605
2021-10-01,534899
2021-11-01,543287
2021-12-01,551072
2022-01-01,559007
2022-02-01,559703
2022-03-01,572249
2022-04-01,576316
2022-05-01,583700
2022-06-01,593123
2022-07-01,583350
2022-08-01,582902
2022-09-01,583719
2022-10-01,589082
2022-11-01,574907
2022-12-01,580918
2023-01-01,581049
2023-02-01,571265
2023-03-01,574915
2023-04-01,576416
2023-05-01,578626.0
2023-06-01,592045.0
