,Monthly Nominal GDP Index,Monthly Real GDP Index,,
2005 - Apr,12859.149,14815.414,,
2005 - May,12881.966,14779.402,,
2005 - Jun,13026.853,14924.692,,
2005 - Jul,13095.973,14950.214,,
2005 - Aug,13153.046,14981.902,,
2005 - Sep,13178.908,14937.190,,
2005 - Oct,13236.020,14968.200,,
2005 - Nov,13299.138,14995.331,,
2005 - Dec,13437.454,15160.550,,
2006 - Jan,13517.677,15219.434,,
2006 - Feb,13568.605,15193.648,,
2006 - Mar,13711.198,15319.490,,
2006 - Apr,13695.011,15243.946,,
2006 - May,13782.827,15310.797,,
2006 - Jun,13782.434,15290.201,,
2006 - Jul,13791.713,15247.005,,
2006 - Aug,13884.412,15305.582,,
2006 - Sep,13934.439,15361.427,,
2006 - Oct,13966.234,15370.601,,
2006 - Nov,14059.416,15467.889,,
2006 - Dec,14093.030,15462.873,,
2007 - Jan,14135.117,15446.887,,
2007 - Feb,14286.337,15544.551,,
2007 - Mar,14225.500,15445.756,,
2007 - Apr,14363.133,15576.904,,
2007 - May,14400.862,15566.139,,
2007 - Jun,14442.251,15590.458,,
2007 - Jul,14423.345,15541.111,,
2007 - Aug,14601.636,15723.039,,
2007 - Sep,14667.370,15750.769,,
2007 - Oct,14664.554,15734.269,,
2007 - Nov,14714.895,15753.008,,
2007 - Dec,14765.724,15814.204,,
2008 - Jan,14802.153,15845.515,,
2008 - Feb,14627.565,15619.476,,
2008 - Mar,14689.895,15643.997,,
2008 - Apr,14757.850,15695.155,,
2008 - May,14802.078,15728.855,,
2008 - Jun,15037.175,15954.069,,
2008 - Jul,14973.648,15816.381,,
2008 - Aug,14917.053,15748.211,,
2008 - Sep,14806.296,15564.113,,
2008 - Oct,14695.044,15445.344,,
2008 - Nov,14698.729,15459.340,,
2008 - Dec,14430.851,15195.122,,
2009 - Jan,14478.535,15231.253,,
2009 - Feb,14443.141,15178.790,,
2009 - Mar,14371.027,15152.462,,
2009 - Apr,14360.263,15145.172,,
2009 - May,14378.002,15168.112,,
2009 - Jun,14405.442,15172.030,,
2009 - Jul,14376.486,15153.689,,
2009 - Aug,14479.877,15241.917,,
2009 - Sep,14490.283,15254.437,,
2009 - Oct,14693.966,15451.277,,
2009 - Nov,14665.821,15383.039,,
2009 - Dec,14593.957,15303.243,,
2010 - Jan,14707.127,15407.142,,
2010 - Feb,14735.559,15435.000,,
2010 - Mar,14851.147,15525.869,,
2010 - Apr,14945.200,15592.430,,
2010 - May,14956.653,15573.208,,
2010 - Jun,15038.726,15651.289,,
2010 - Jul,15111.401,15722.879,,
2010 - Aug,15108.432,15689.936,,
2010 - Sep,15204.982,15765.988,,
2010 - Oct,15286.844,15811.739,,
2010 - Nov,15264.940,15754.958,,
2010 - Dec,15376.629,15857.249,,
2011 - Jan,15257.491,15718.989,,
2011 - Feb,15282.053,15696.601,,
2011 - Mar,15514.787,15894.009,,
2011 - Apr,15584.435,15942.223,,
2011 - May,15566.853,15876.697,,
2011 - Jun,15521.317,15811.658,,
2011 - Jul,15615.856,15870.340,,
2011 - Aug,15715.902,15929.487,,
2011 - Sep,15611.284,15812.323,,
2011 - Oct,15857.208,16080.433,,
2011 - Nov,15838.181,16035.085,,
2011 - Dec,15831.412,16030.734,,
2012 - Jan,15937.463,16085.953,,
2012 - Feb,16211.608,16322.262,,
2012 - Mar,16057.402,16131.597,,
2012 - Apr,16180.784,16233.746,,
2012 - May,16224.118,16280.446,,
2012 - Jun,16216.488,16246.947,,
2012 - Jul,16318.541,16324.717,,
2012 - Aug,16274.600,16235.253,,
2012 - Sep,16365.479,16286.507,,
2012 - Oct,16336.968,16221.000,,
2012 - Nov,16406.020,16294.870,,
2012 - Dec,16518.170,16384.340,,
2013 - Jan,16677.870,16511.618,,
2013 - Feb,16577.421,16378.799,,
2013 - Mar,16631.859,16434.195,,
2013 - Apr,16647.079,16441.950,,
2013 - May,16657.824,16431.601,,
2013 - Jun,16793.751,16519.752,,
2013 - Jul,16849.894,16554.562,,
2013 - Aug,16934.351,16618.539,,
2013 - Sep,16948.959,16611.237,,
2013 - Oct,17058.338,16684.134,,
2013 - Nov,17167.781,16748.370,,
2013 - Dec,17173.223,16705.830,,
2014 - Jan,17077.228,16602.651,,
2014 - Feb,17163.155,16683.330,,
2014 - Mar,17192.461,16676.845,,
2014 - Apr,17353.226,16798.497,,
2014 - May,17479.028,16872.985,,
2014 - Jun,17555.854,16932.929,,
2014 - Jul,17692.023,17021.509,,
2014 - Aug,17798.056,17120.349,,
2014 - Sep,17739.602,17052.083,,
2014 - Oct,17852.390,17150.055,,
2014 - Nov,17865.125,17150.723,,
2014 - Dec,17840.104,17122.928,,
2015 - Jan,17930.585,17262.899,,
2015 - Feb,18060.031,17354.721,,
2015 - Mar,17983.428,17224.285,,
2015 - Apr,18161.817,17387.362,,
2015 - May,18177.387,17356.246,,
2015 - Jun,18241.916,17398.937,,
2015 - Jul,18275.728,17400.818,,
2015 - Aug,18285.978,17416.126,,
2015 - Sep,18359.173,17494.213,,
2015 - Oct,18358.019,17482.348,,
2015 - Nov,18291.968,17424.003,,
2015 - Dec,18346.250,17481.172,,
2016 - Jan,18398.990,17543.656,,
2016 - Feb,18364.285,17520.303,,
2016 - Mar,18512.643,17632.283,,
