DATE,XTEXVA01USM657S
1960-01-01,2.75899015603027
1960-02-01,1.29683936135549
1960-03-01,-0.868502316006176
1960-04-01,5.61360244013239
1960-05-01,1.04461103600836
1960-06-01,-0.0608124543906592
1960-07-01,4.09516855299988
1960-08-01,-2.97539019114982
1960-09-01,0.0843475117484034
1960-10-01,1.41464001926318
1960-11-01,-0.682614115272749
1960-12-01,-2.49820702844848
1961-01-01,-0.545543704793429
1961-02-01,5.25115562403698
1961-03-01,2.77566317268841
1961-04-01,-6.74035667483334
1961-05-01,-3.62292277614858
1961-06-01,2.78288431061807
1961-07-01,4.71814481312446
1961-08-01,-0.188468107662406
1961-09-01,-1.51059184516434
1961-10-01,8.36978012102331
1961-11-01,-3.9031402034498
1961-12-01,-2.16891036704637
1962-01-01,-1.96412819758894
1962-02-01,9.11762941635175
1962-03-01,-8.54818316750041
1962-04-01,8.46357297427266
1962-05-01,-2.25005542008424
1962-06-01,6.43496995124164
1962-07-01,-6.7916688861663
1962-08-01,-2.33169505086296
1962-09-01,11.0590988882387
1962-10-01,-18.7723919915701
1962-11-01,11.3770513069988
1962-12-01,5.49181759944092
1963-01-01,-45.4951970851275
1963-02-01,117.036361794794
1963-03-01,-8.81556841515774
1963-04-01,-1.39720558882236
1963-05-01,-1.4481469947057
1963-06-01,-3.22852478011271
1963-07-01,0.092522042015892
1963-08-01,3.94214561470284
1963-09-01,2.23896212596778
1963-10-01,-0.598649201801064
1963-11-01,0.190456581046996
1963-12-01,5.79531442663378
1964-01-01,-0.33022533022533
1964-02-01,1.14987331904112
1964-03-01,-0.423892100192678
1964-04-01,0.657894736842105
1964-05-01,-0.206651287966167
1964-06-01,0.178184444979533
1964-07-01,1.83636188827997
1964-08-01,-1.09988670694864
1964-09-01,6.77294639873992
1964-10-01,-3.88019669199821
1964-11-01,1.52543949400056
1964-12-01,9.65643609711406
1965-01-01,-48.7216977191077
1965-02-01,32.1873727087576
1965-03-01,68.8031554295575
1965-04-01,-12.1467688937568
1965-05-01,-4.45081660640818
1965-06-01,-2.8053235908142
1965-07-01,2.89971808296416
1965-08-01,1.27853881278539
1965-09-01,-1.61449611404526
1965-10-01,2.53131410116528
1965-11-01,1.22589707572468
1965-12-01,-0.66439594634372
1966-01-01,-2.70922406129619
1966-02-01,2.36261584649524
1966-03-01,7.54484400238034
1966-04-01,-8.44235405715189
1966-05-01,4.27368875458666
1966-06-01,2.85655143862554
1966-07-01,-0.631917890923727
1966-08-01,-0.372650680492547
1966-09-01,1.74418604651163
1966-10-01,4.55144855144855
1966-11-01,-4.79666717627274
1966-12-01,-2.95074069613393
1967-01-01,9.16687350045504
1967-02-01,-2.17127699886321
1967-03-01,-2.21559437579889
1967-04-01,3.30758566052684
1967-05-01,-2.26226993865031
1967-06-01,1.30247155747352
1967-07-01,0.743552009914027
1967-08-01,-1.36849388790651
1967-09-01,1.2120975913945
1967-10-01,-6.99680388155108
1967-11-01,10.5829744948658
1967-12-01,0.224651789725925
1968-01-01,5.14420203227735
1968-02-01,-1.40344643808847
1968-03-01,-12.1225225225225
1968-04-01,17.0876732551464
1968-05-01,-4.04160683640948
1968-06-01,4.73739917515238
1968-07-01,-0.407708122800293
1968-08-01,3.20153953813856
1968-09-01,8.86929988133582
1968-10-01,-18.0623462364922
1968-11-01,12.9679601687507
1968-12-01,0.171584294990411
1969-01-01,-27.4299724591926
1969-02-01,4.8780487804878
1969-03-01,40.6910551167204
1969-04-01,4.08067247976915
1969-05-01,-1.52487719615466
1969-06-01,-2.70832695779906
1969-07-01,0.0880724710619024
1969-08-01,5.78566939032055
1969-09-01,-0.74864086034283
1969-10-01,0.0359184650842587
1969-11-01,1.66063253642919
1969-12-01,-3.46715328467153
1970-01-01,3.83559973169096
1970-02-01,4.13730326521024
1970-03-01,-4.83575355984774
1970-04-01,1.03703703703704
1970-05-01,7.35777126099707
1970-06-01,1.80283536835204
1970-07-01,-0.625184469666479
1970-08-01,-3.02948482557512
1970-09-01,-1.07757420504539
1970-10-01,3.80837109803811
1970-11-01,-5.11388286334056
1970-12-01,1.99462765045436
1971-01-01,0.899361201389667
1971-02-01,2.58795434981812
1971-03-01,2.57138990391122
1971-04-01,-4.1905264546774
1971-05-01,3.18395901616768
1971-06-01,-1.9752822785148
1971-07-01,-2.70947362688234
1971-08-01,2.62259292431706
1971-09-01,22.3728351288695
1971-10-01,-40.5188553089061
1971-11-01,19.7429556354916
1971-12-01,21.4413117626811
1972-01-01,4.98338014378108
1972-02-01,-6.14584100336254
1972-03-01,1.16634849237689
1972-04-01,-1.2433759855241
1972-05-01,1.60192649984295
1972-06-01,2.30317394888706
1972-07-01,2.59632334424578
1972-08-01,2.87670896639749
1972-09-01,-0.355498294085367
1972-10-01,3.23484340580404
1972-11-01,3.6321465847153
1972-12-01,1.90461269891005
1973-01-01,8.82895545989634
1973-02-01,2.3228123990959
1973-03-01,4.74725361418456
1973-04-01,3.44003012615327
1973-05-01,1.23232065820849
1973-06-01,2.98845614413637
1973-07-01,2.40414833438089
1973-08-01,3.01263362487852
1973-09-01,6.2528963919232
1973-10-01,2.57951961120284
1973-11-01,4.45531023172472
1973-12-01,1.01907309414433
1974-01-01,2.89686137374261
1974-02-01,5.57606780229924
1974-03-01,1.01339267972817
1974-04-01,6.32622550948147
1974-05-01,-5.61681343891068
1974-06-01,8.68355025874236
1974-07-01,-0.12023710757614
1974-08-01,0.871564602920464
1974-09-01,0.238683422242908
1974-10-01,3.25622373293013
1974-11-01,3.46024351997048
1974-12-01,-1.23482931939507
